,Unnamed: 0,recordId,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,ZIPCode,ESRI_OID,geo,point,latitude,longitude,altitude
10,10,11699551,20CC9DA963AF5428,2022/12/30 16:12:00+00,High,SS,HAZARD MATERIAL,P223642997,800 W 33RD ST,800 W 33RD ST BALTIMORE MD,Hampden,Northern,511.0,14.0,D2,Medfield/Hampden/Woodberry/Remington,Census Tract 1306,21211.0,40106,"800, West 33rd Street, Hampden, Baltimore, Maryland, 21211, United States","(39.327224599999994, -76.62937753730588, 0.0)",39.3272246,-76.62937753730588,0.0
11,11,11653426,1CC9DA963A0F361,2022/12/19 18:27:00+00,High,SE,AGGRAV ASSAULT,P223533602,6500 ST HELENA AV,6500 ST HELENA AV BALTIMORE MD,Saint Helena,Southeastern,243.0,1.0,D7,Southeastern,Census Tract 2606.05,21222.0,41479,"6500, Saint Helena Avenue, Saint Helena, Baltimore, Maryland, 21222, United States","(39.26000005, -76.53236474101614, 0.0)",39.26000005,-76.53236474101614,0.0
12,12,11663123,21CC9DA963A3B33E,2022/12/21 20:30:00+00,High,CD,NONBREATHING / A,P223554106,600 W LOMBARD ST,600 W LOMBARD ST BALTIMORE MD,University Of Maryland,Central,121.0,11.0,D8,Downtown/Seton Hill,Census Tract 402,21201.0,44328,"600, West Lombard Street, Chinatown, Baltimore, Maryland, 21201, United States","(39.287493, -76.623777, 0.0)",39.287493,-76.623777,0.0
13,13,11667972,21CC9DA963A515D8,2022/12/22 21:43:00+00,High,SD,AGGRAV ASSAULT,P223564284,3000 S HANOVER ST,3000 S HANOVER ST BALTIMORE MD,Middle Branch/Reedbird Parks,Southern,922.0,10.0,D7,Cherry Hill,Census Tract 2502.03,21225.0,44342,"3000, South Hanover Street, Brooklyn Park, Maryland, 21225, United States","(39.2503184, -76.61515807378066, 0.0)",39.2503184,-76.61515807378066,0.0
14,14,11671426,21CC9DA963A63B74,2022/12/23 18:36:00+00,High,SE,AGGRAV ASSAULT,P223573472,100 N CENTRAL AV,100 N CENTRAL AV BALTIMORE MD,Pleasant View Gardens,Southeastern,211.0,12.0,D7,Oldtown/Middle East,Census Tract 2805,21202.0,44347,"100, North Central Avenue, Pleasant View Gardens, Baltimore, Maryland, 21202, United States","(39.292861, -76.59982, 0.0)",39.292861,-76.59982,0.0
15,15,11574125,2701020A638AB450,2022/12/02 21:28:00+00,High,NE,EP  PAPERS,P223364600,3000 ROYSTON AV,3000 ROYSTON AV BALTIMORE MD,Westfield,Northeastern,424.0,3.0,D4,Hamilton,Census Tract 2705.02,21214.0,44404,"3000, Royston Avenue, Westfield, Baltimore, Maryland, 21206, United States","(39.35726, -76.553267, 0.0)",39.35726,-76.553267,0.0
16,16,11588419,2701020A638EBB6A,2022/12/05 22:47:00+00,High,NE,EP  PAPERS,P223394983,2500 ROBB ST,2500 ROBB ST BALTIMORE MD,Coldstream Homestead Montebello,Northeastern,411.0,14.0,D5,Midway/Coldstream,Census Tract 907,21218.0,44416,"2500, Robb Street, Coldstream-Homestead-Montebello, Baltimore, Maryland, 21218, United States","(39.318467, -76.598289, 0.0)",39.318467,-76.598289,0.0
17,17,11591617,2701020A638F9E62,2022/12/06 14:56:00+00,High,ND,EP  PAPERS,P223403104,500 WINSTON AV,500 WINSTON AV BALTIMORE MD,Winston-Govans,Northern,524.0,4.0,D2,Greater Govans,Census Tract 2710.02,21212.0,44418,"500, Winston Avenue, Winston-Govans, Baltimore, Maryland, 21212, United States","(39.3502981, -76.60916845728477, 0.0)",39.3502981,-76.60916845728477,0.0
18,18,11601640,2701020A6392444C,2022/12/08 15:08:00+00,High,SD,EP  PAPERS,P223423151,1700 LIGHT ST,1700 LIGHT ST BALTIMORE MD,Riverside,Southern,942.0,11.0,D7,South Baltimore,Census Tract 2404,21230.0,44422,"1700, Light Street, South Baltimore, Baltimore, Maryland, 21230, United States","(39.27051725, -76.61177215433429, 0.0)",39.27051725,-76.61177215433429,0.0
19,19,11606527,2701020A63938921,2022/12/09 14:14:00+00,High,WD,EP  PAPERS,P223432957,300 N PAYSON ST,300 N PAYSON ST BALTIMORE MD,Penrose/Fayette Street Outreach,Western,714.0,9.0,D8,Southwest Baltimore,Census Tract 2001,21223.0,44424,"300, North Payson Street, Penrose/Fayette Street Outreach, Baltimore, Maryland, 21223, United States","(39.292085, -76.649013, 0.0)",39.292085,-76.649013,0.0
20,20,11617671,2701020A6396B323,2022/12/11 23:50:00+00,High,CD,EP  PAPERS,P223454701,500 N CALVERT ST,500 N CALVERT ST BALTIMORE MD,Mount Vernon,Central,142.0,11.0,D8,Midtown,Census Tract 1101,21202.0,44433,"Shillman Building, 500, North Calvert Street, Mount Vernon, Baltimore, Maryland, 21202, United States","(39.29586995, -76.61305662450243, 0.0)",39.29586995,-76.61305662450243,0.0
21,21,11617928,2701020A6396C644,2022/12/12 01:12:00+00,High,CD,EP  PAPERS,P223460263,500 N CALVERT ST,500 N CALVERT ST BALTIMORE MD,Mount Vernon,Central,142.0,11.0,D8,Midtown,Census Tract 1101,21202.0,44434,"Shillman Building, 500, North Calvert Street, Mount Vernon, Baltimore, Maryland, 21202, United States","(39.29586995, -76.61305662450243, 0.0)",39.29586995,-76.61305662450243,0.0
22,22,11622446,2701020A6397F306,2022/12/12 22:35:00+00,High,SW,EP  PAPERS,P223464849,3600 W MULBERRY ST,3600 W MULBERRY ST BALTIMORE MD,Allendale,Southwestern,843.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.01,21229.0,44439,"Mary E Rodman Rec Center, 3600, West Mulberry Street, Allendale, Baltimore, Maryland, 21229, United States","(39.292143800000005, -76.67727431481617, 0.0)",39.292143800000005,-76.67727431481617,0.0
23,23,11625890,2701020A6398EA1B,2022/12/13 16:09:00+00,High,NE,EP  PAPERS,P223473579,6200 TRAMORE RD,6200 TRAMORE RD BALTIMORE MD,Hamilton Hills,Northeastern,423.0,3.0,D3,Harford/Echodale,Census Tract 2706,21214.0,44443,"6200, Tramore Road, Hamilton Hills, Baltimore, Maryland, 21214, United States","(39.36056605, -76.56717472703912, 0.0)",39.36056605,-76.56717472703912,0.0
24,24,11625925,2701020A6398ED43,2022/12/13 16:23:00+00,High,WD,EP  PAPERS,P223473584,1600 MORELAND AV,1600 MORELAND AV BALTIMORE MD,Coppin Heights/Ash-Co-East,Western,723.0,7.0,D9,Greater Rosemont,Census Tract 1503,21216.0,44444,"1600, Moreland Avenue, Coppin Heights/Ash-Co-East, Baltimore, Maryland, 21216, United States","(39.30642295, -76.65599374513036, 0.0)",39.30642295,-76.65599374513036,0.0
25,25,11635506,2701020A639B7EC9,2022/12/15 15:08:00+00,High,ND,EP  PAPERS,P223492944,4400 OLD YORK RD,4400 OLD YORK RD BALTIMORE MD,Wilson Park,Northern,524.0,4.0,D2,Greater Govans,Census Tract 2710.01,21212.0,44454,"4400, Old York Road, Wilson Park, Baltimore, Maryland, 21212, United States","(39.34355395, -76.60818422580878, 0.0)",39.34355395,-76.60818422580878,0.0
26,26,11635473,2701020A639B7F8C,2022/12/15 15:11:00+00,High,SE,EP  PAPERS,P223492953,6700 DULUTH AV,6700 DULUTH AV BALTIMORE MD,Graceland Park,Southeastern,243.0,1.0,D6,Southeastern,Census Tract 2606.05,21222.0,44455,"6700, Duluth Avenue, Graceland Park, Baltimore, Baltimore County, Maryland, 21222, United States","(39.27873889999999, -76.533132722146, 0.0)",39.27873889999999,-76.533132722146,0.0
0,27,11644561,2701020A639E0E57,2022/12/17 13:45:00+00,High,SW,EP  PAPERS,P223512415,3000 W NORTH AV,3000 W NORTH AV BALTIMORE MD,Walbrook,Southwestern,811.0,7.0,D9,Greater Rosemont,Census Tract 1506,21216.0,44468,"3000, West North Avenue, Walbrook, Baltimore, Maryland, 21216, United States","(39.309327499999995, -76.66771083299413, 0.0)",39.3093275,-76.66771083299413,0.0
1,28,11646495,2701020A639EB16E,2022/12/18 01:21:00+00,High,NW,BURGLARY,P223520310,4000 BAREVA RD,4000 BAREVA RD BALTIMORE MD,East Arlington,Northwestern,643.0,6.0,D1,Dorchester/Ashburton,Census Tract 1511,21215.0,44476,"4000, Bareva Road, East Arlington, Baltimore, Maryland, 21215, United States","(39.3343622, -76.67127427716572, 0.0)",39.3343622,-76.67127427716572,0.0
2,29,11649673,2701020A639FB60B,2022/12/18 19:53:00+00,High,SW,EP  PAPERS,P223523344,3600 W MULBERRY ST,3600 W MULBERRY ST BALTIMORE MD,Allendale,Southwestern,843.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.01,21229.0,44484,"Mary E Rodman Rec Center, 3600, West Mulberry Street, Allendale, Baltimore, Maryland, 21229, United States","(39.292143800000005, -76.67727431481617, 0.0)",39.292143800000005,-76.67727431481617,0.0
3,30,11652433,2701020A63A0A0AA,2022/12/19 12:34:00+00,High,NW,EP  PAPERS,P223532222,6800 PARK HEIGHTS AV,6800 PARK HEIGHTS AV BALTIMORE MD,Cross Country,Northwestern,632.0,5.0,D1,Cross-Country/Cheswolde,Census Tract 2720.05,21215.0,44492,"6800, Park Heights Avenue, Fallstaff, Baltimore, Maryland, 21215, United States","(39.363765, -76.701666, 0.0)",39.363765,-76.701666,0.0
4,31,11656068,2701020A63A1AB51,2022/12/20 07:32:00+00,High,SW,HOLDUP ALARM,P223541312,3400 WILKENS AV,3400 WILKENS AV BALTIMORE MD,Saint Agnes,Southwestern,832.0,10.0,D10,Morrell Park/Violetville,Census Tract 2501.03,21229.0,44496,"3400, Wilkens Avenue, Saint Josephs, Baltimore, Maryland, 21229, United States","(39.273129350000005, -76.67423766658592, 0.0)",39.273129350000005,-76.67423766658592,0.0
5,32,11656440,2701020A63A1D4AB,2022/12/20 10:28:00+00,High,NE,EP  PAPERS,P223541884,3100 LOUISE AV,3100 LOUISE AV BALTIMORE MD,Westfield,Northeastern,424.0,3.0,D4,Hamilton,Census Tract 2705.02,21214.0,44497,"3100, Louise Avenue, Westfield, Baltimore, Maryland, 21214, United States","(39.359188450000005, -76.55306580660434, 0.0)",39.359188450000005,-76.55306580660434,0.0
6,33,11657252,2701020A63A209F4,2022/12/20 14:16:00+00,High,NW,EP  PAPERS,P223542817,4800 NORWOOD AV,4800 NORWOOD AV BALTIMORE MD,Howard Park,Northwestern,622.0,8.0,D9,Howard Park/West Arlington,Census Tract 2802,21207.0,44498,"4800, Norwood Avenue, Howard Park, Baltimore, Maryland, 21207, United States","(39.329403, -76.697574, 0.0)",39.329403,-76.697574,0.0
7,34,11661139,2701020A63A32D08,2022/12/21 10:58:00+00,High,NW,EP  PAPERS,P223551848,3700 GREENSPRING AV,3700 GREENSPRING AV BALTIMORE MD,Park Circle,Northwestern,612.0,6.0,D1,Southern Park Heights,Census Tract 1512,21211.0,44501,"3700, Greenspring Avenue, Park Circle, Baltimore, Maryland, 21211, United States","(39.333182, -76.655936, 0.0)",39.333182,-76.655936,0.0
8,35,11663473,2701020A63A3C37A,2022/12/21 21:39:00+00,High,SW,EP  PAPERS,P223554312,3600 EDMONDSON AV,3600 EDMONDSON AV BALTIMORE MD,Allendale,Southwestern,843.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.01,21229.0,44506,"3600, Edmondson Avenue, Edgewood, Baltimore, Maryland, 21229, United States","(39.2942913, -76.67751864191494, 0.0)",39.2942913,-76.67751864191494,0.0
9,36,11665450,2701020A63A4847B,2022/12/22 11:23:00+00,High,NE,EP  PAPERS,P223561964,3000 SOUTHERN AV,3000 SOUTHERN AV BALTIMORE MD,Moravia-Walther,Northeastern,426.0,3.0,D4,Lauraville,Census Tract 2703.02,21214.0,44509,"3000, Southern Avenue, Waltherson, Baltimore, Maryland, 21214, United States","(39.344485, -76.56753, 0.0)",39.344485,-76.56753,0.0
10,37,11670803,2701020A63A60738,2022/12/23 14:53:00+00,High,NE,EP  PAPERS,P223572642,2300 BELAIR RD,2300 BELAIR RD BALTIMORE MD,Belair-Edison,Northeastern,434.0,13.0,D5,Belair-Edison,Census Tract 801.02,21213.0,44514,"2300, Belair Road, Belair-Edison, Baltimore, Maryland, 21213, United States","(39.3175148707077, -76.5785681499805, 0.0)",39.3175148707077,-76.5785681499805,0.0
11,38,11673842,2701020A63A7151E,2022/12/24 10:05:00+00,High,SD,EP  PAPERS,P223581437,2700 MARBOURNE AV,2700 MARBOURNE AV BALTIMORE MD,Lakeland,Southern,923.0,10.0,D7,Westport/Mount Winans/Lakeland,Census Tract 2502.05,21230.0,44816,"2700, Marbourne Avenue, Lakeland, Baltimore, Maryland, 21230, United States","(39.25247485, -76.64429682938103, 0.0)",39.25247485,-76.64429682938103,0.0
12,39,11681097,2701020A63A9F0E9,2022/12/26 14:07:00+00,High,NE,EP  PAPERS,P223602119,5500 FRANKFORD AV,5500 FRANKFORD AV BALTIMORE MD,Frankford,Northeastern,444.0,2.0,D4,Cedonia/Frankford,Census Tract 2602.03,21206.0,44826,"5500, Frankford Avenue, Frankford, Baltimore, Maryland, 21206, United States","(39.32323745, -76.54043985939227, 0.0)",39.32323745,-76.54043985939227,0.0
13,40,11684569,2701020A63AB206E,2022/12/27 11:42:00+00,High,ND,EP  PAPERS,P223611841,1000 CEDARCROFT RD,1000 CEDARCROFT RD BALTIMORE MD,Lake Walker,Northern,522.0,4.0,D2,Chinquapin Park/Belvedere,Census Tract 2708.04,21212.0,44832,"1000, Cedarcroft Road, Lake Walker, Baltimore, Maryland, 21212, United States","(39.369834, -76.601071, 0.0)",39.369834,-76.601071,0.0
14,41,11688025,2701020A63AC133A,2022/12/28 04:58:00+00,High,ED,EP  PAPERS,P223620951,1800 N WASHINGTON ST,1800 N WASHINGTON ST BALTIMORE MD,Broadway East,Eastern,331.0,12.0,D5,Greenmount East,Census Tract 806,21213.0,44834,"1800, North Washington Street, Broadway East, Baltimore, Maryland, 21213, United States","(39.3111694, -76.59057416862699, 0.0)",39.3111694,-76.59057416862699,0.0
15,42,11688651,2701020A63AC57D5,2022/12/28 09:51:00+00,High,SD,HOLDUP ALARM,P223621672,2800 S HANOVER ST,2800 S HANOVER ST BALTIMORE MD,Middle Branch/Reedbird Parks,Southern,922.0,10.0,D7,Cherry Hill,Census Tract 2502.03,21225.0,44837,"2800, South Hanover Street, Baltimore, Maryland, 21225, United States","(39.253478, -76.616878, 0.0)",39.253478,-76.616878,0.0
16,43,11693936,2701020A63ADC15A,2022/12/29 11:33:00+00,High,NE,EP  PAPERS,P223632253,3000 SOUTHERN AV,3000 SOUTHERN AV BALTIMORE MD,Moravia-Walther,Northeastern,426.0,3.0,D4,Lauraville,Census Tract 2703.02,21214.0,44844,"3000, Southern Avenue, Waltherson, Baltimore, Maryland, 21214, United States","(39.344485, -76.56753, 0.0)",39.344485,-76.56753,0.0
17,44,11693905,2701020A63ADCD0D,2022/12/29 12:23:00+00,High,ED,EP  PAPERS,P223632446,2200 E CHASE ST,2200 E CHASE ST BALTIMORE MD,Middle East,Eastern,322.0,13.0,D5,Clifton-Berea,Census Tract 804,21213.0,44845,"2200, East Chase Street, Middle East, Baltimore, Maryland, 21213, United States","(39.30369495, -76.58681948065717, 0.0)",39.30369495,-76.58681948065717,0.0
18,45,11567552,1C01020A6388F4C1,2022/12/01 13:38:00+00,High,ED,AUTO ACC/INJURY,P223352766,N WOLFE ST/E OLIVER ST,N WOLFE ST and E OLIVER ST BALTIMORE MD,Broadway East,Eastern,331.0,12.0,D5,Greenmount East,Census Tract 807,21213.0,48008,,"(None, None, None)",,,
19,46,11567632,1C01020A6388F563,2022/12/01 13:41:00+00,High,NE,ROBBERY ARMED,P223352772,NORTHEAST DISTRICT,NORTHEAST DISTRICT BALTIMORE MD,Morgan State University,Northeastern,421.0,3.0,D4,Northwood,Census Tract 2709.03,21251.0,48012,"Baltimore Police Department Northeast District, 1900, Argonne Drive, Northwood, Baltimore, Maryland, 21218, United States","(39.3408169, -76.58288750304428, 0.0)",39.3408169,-76.58288750304428,0.0
20,47,11592322,22CC9DA9638FCCD1,2022/12/06 18:14:00+00,High,SE,EP  PAPERS,P223404014,400 N MILTON AV,400 N MILTON AV BALTIMORE MD,McElderry Park,Southeastern,221.0,13.0,D5,Patterson Park North & East,Census Tract 602,21224.0,50030,"400, North Milton Avenue, McElderry Park, Baltimore, Maryland, 21224, United States","(39.29572625, -76.58234384517675, 0.0)",39.29572625,-76.58234384517675,0.0
21,48,11567507,1C01020A6388F7DC,2022/12/01 13:52:00+00,High,CW,CAR JACKING,P223352808,EASTERN DISTRICT,EASTERN DISTRICT BALTIMORE MD,Berea,Eastern,332.0,13.0,D5,Clifton-Berea,Census Tract 802,21213.0,50076,"Baltimore Police Department Eastern District, 1620, Edison Highway, Berea, Baltimore, Maryland, 21213, United States","(39.3100189, -76.57335149310603, 0.0)",39.3100189,-76.57335149310603,0.0
22,49,11567505,1C01020A6388F8A4,2022/12/01 13:55:00+00,High,CW,CAR JACKING,P223352822,EASTERN DISTRICT,EASTERN DISTRICT BALTIMORE MD,Berea,Eastern,332.0,13.0,D5,Clifton-Berea,Census Tract 802,21213.0,50086,"Baltimore Police Department Eastern District, 1620, Edison Highway, Berea, Baltimore, Maryland, 21213, United States","(39.3100189, -76.57335149310603, 0.0)",39.3100189,-76.57335149310603,0.0
23,50,11567717,1C01020A638907EB,2022/12/01 15:00:00+00,High,NW,AUTO ACC/INJURY,P223353038,W ROGERS AV/REISTERSTOWN RD,W ROGERS AV and REISTERSTOWN RD BALTIMORE MD,Woodmere,Northwestern,623.0,5.0,D1,Glen-Fallstaff,Census Tract 2801.01,21215.0,50174,,"(None, None, None)",,,
24,51,11567811,1C01020A63890BCC,2022/12/01 15:17:00+00,High,ED,NONBREATHING / A,P223353111,2800 E FEDERAL ST,2800 E FEDERAL ST BALTIMORE MD,Berea,Eastern,332.0,13.0,D5,Clifton-Berea,Census Tract 803.02,21213.0,50217,"2800, East Federal Street, Berea, Baltimore, Maryland, 21213, United States","(39.30935945, -76.57885625700379, 0.0)",39.30935945,-76.57885625700379,0.0
25,52,11569778,1C01020A6389806E,2022/12/01 23:34:00+00,High,NE,DISCHRG FIREARM,P223355117,2500 EDISON HY,2500 EDISON HY BALTIMORE MD,Belair-Edison,Northeastern,434.0,13.0,D6,Belair-Edison,Census Tract 2603.02,21213.0,50334,,"(None, None, None)",,,
26,53,11616064,27CC9DA963964DE6,2022/12/11 16:38:00+00,High,CD,NONBREATHING / A,P223453012,600 W LOMBARD ST,600 W LOMBARD ST BALTIMORE MD,University Of Maryland,Central,121.0,11.0,D8,Downtown/Seton Hill,Census Tract 402,21201.0,52020,"600, West Lombard Street, Chinatown, Baltimore, Maryland, 21201, United States","(39.287493, -76.623777, 0.0)",39.287493,-76.623777,0.0
0,54,11570423,1C01020A6389A2F0,2022/12/02 02:02:00+00,High,SE,CUTTING,P223360555,2100 FLEET ST,2100 FLEET ST BALTIMORE MD,Fells Point,Southeastern,213.0,1.0,D6,Fells Point,Census Tract 203,21231.0,52348,"Kislings Tavern, 2100, Fleet Street, Canton, Baltimore, Maryland, 21231, United States","(39.28503035, -76.58683965, 0.0)",39.28503035,-76.58683965,0.0
1,55,11658670,22CC9DA963A25AC8,2022/12/20 20:00:00+00,High,CD,AGGRAV ASSAULT,P223544111,600 SMITHSON ST,600 SMITHSON ST BALTIMORE MD,Upton,Central,123.0,11.0,D8,Upton/Druid Heights,Census Tract 1402,21217.0,53325,"600, Smithson Street, Upton, Baltimore, Maryland, 21217, United States","(39.3021112, -76.6339834, 0.0)",39.3021112,-76.6339834,0.0
2,56,11570573,1C01020A6389AA6C,2022/12/02 02:34:00+00,High,ED,AGGRAV ASSAULT,P223360685,E 0TH ST/KIRK AV,E 0TH ST and KIRK AV BALTIMORE MD,Coldstream Homestead Montebello,Northeastern,411.0,14.0,D5,Midway/Coldstream,Census Tract 908,21218.0,54443,,"(None, None, None)",,,
3,57,11622008,24CC9DA96397DB23,2022/12/12 20:53:00+00,High,SE,ROBBERY ARMED,P223464522,1700 E BALTIMORE ST,1700 E BALTIMORE ST BALTIMORE MD,Washington Hill,Southeastern,212.0,13.0,D6,Fells Point,Census Tract 202,21231.0,59561,"1700, East Baltimore Street, Washington Hill, Baltimore, Maryland, 21231, United States","(39.29163, -76.593786, 0.0)",39.29163,-76.593786,0.0
4,58,11571255,4ACC9CA96389FB3E,2022/12/02 08:18:00+00,High,NE,AGGRAV ASSAULT,P223361486,6500 ALTA AV,6500 ALTA AV BALTIMORE MD,Rosemont East,Northeastern,425.0,2.0,D4,Hamilton,Census Tract 2705.02,21206.0,65412,"6500, Alta Avenue, Westfield, Baltimore, Maryland, 21206, United States","(39.3579741, -76.54455968372483, 0.0)",39.3579741,-76.54455968372483,0.0
5,59,11652401,29CC9DA963A0AD92,2022/12/19 13:29:00+00,High,SD,EP  PAPERS,P223532436,700 E PATAPSCO AV,700 E PATAPSCO AV BALTIMORE MD,Fairfield Area,Southern,912.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,21225.0,67745,"700, East Patapsco Avenue, Fairfield Area, Baltimore, Maryland, 21225, United States","(39.2359959, -76.5996952, 0.0)",39.2359959,-76.5996952,0.0
6,60,11700724,28CC9DA963AFA37D,2022/12/30 21:50:00+00,High,NW,DISCHRG FIREARM,P223644233,3800 BLK BARTWOOD RD,3800 BLK BARTWOOD RD BALTIMORE MD,Glen,Northwestern,632.0,5.0,D1,Glen-Fallstaff,Census Tract 2720.06,21215.0,69461,,"(None, None, None)",,,
7,61,11567160,2801020A6388DC08,2022/12/01 11:53:00+00,High,NW,EP  PAPERS,P223352382,3900 OAKFORD AV,3900 OAKFORD AV BALTIMORE MD,Dolfield,Northwestern,642.0,6.0,D1,Dorchester/Ashburton,Census Tract 1510,21215.0,69564,"3900, Oakford Avenue, Dolfield, Baltimore, Maryland, 21215, United States","(39.33604155093756, -76.68237747304346, 0.0)",39.33604155093756,-76.68237747304346,0.0
8,62,11577398,2801020A638BB494,2022/12/03 15:41:00+00,High,WD,EP  PAPERS,P223372796,1600 MCKEAN AV,1600 MCKEAN AV BALTIMORE MD,Sandtown-Winchester,Western,742.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1502,21217.0,69581,"1600, McKean Avenue, Sandtown-Winchester, Baltimore, Maryland, 21217, United States","(39.306979999999996, -76.64734811193568, 0.0)",39.30698,-76.64734811193568,0.0
9,63,11585605,2801020A638E1ACF,2022/12/05 11:22:00+00,High,NE,EP  PAPERS,P223392142,4600 MARBLE HALL RD,4600 MARBLE HALL RD BALTIMORE MD,New Northwood,Northeastern,413.0,4.0,D2,Northwood,Census Tract 2709.01,21239.0,69585,"4600, Marble Hall Road, New Northwood, Baltimore, Maryland, 21239, United States","(39.346749349999996, -76.59720090064238, 0.0)",39.34674935,-76.59720090064238,0.0
10,64,11592959,2801020A638FE1E5,2022/12/06 19:44:00+00,High,SD,EP  PAPERS,P223404439,4200 FAIRHAVEN AV,4200 FAIRHAVEN AV BALTIMORE MD,Curtis Bay,Southern,911.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,21226.0,69592,"4200, Fairhaven Avenue, Curtis Bay, Baltimore, Maryland, 21226, United States","(39.227391, -76.590313, 0.0)",39.227391,-76.590313,0.0
